ID_Venta,Fecha,Mes,Mes_Nombre,Trimestre,Día_Semana,ID_Cliente,Cliente,Tipo_Cliente,Ruta,Municipio,Zona,Vendedor,Producto,Categoría,Cantidad_Cajas,Precio_Caja,Costo_Caja,Descuento_%,Precio_Final,Total_Venta,Costo_Total,Utilidad
V00011,2023-01-03,1,January,T1,Tuesday,C066,Minimercado El Campesino,Minimercado,Ruta La Unión,La Unión,Vereda Cañaveral,Luis Hernández,Póker Botella x30,Cerveza,7,66000,52000,0,66000.0,462000.0,364000,98000.0
V00012,2023-01-03,1,January,T1,Tuesday,C011,Superete El Rincón,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Jhon Pérez,Malta Pony x30,Malta,10,48000,36000,0,48000.0,480000.0,360000,120000.0
V00013,2023-01-03,1,January,T1,Tuesday,C109,Tienda El Paisa,Tienda,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Carlos Martínez,Costeña Litro x12,Cerveza,10,55000,43000,2,53900.0,539000.0,430000,109000.0
V00014,2023-01-03,1,January,T1,Tuesday,C024,Superete Don Jorge,Superete,Ruta Caimito,Caimito,Vereda San Pedro,Carlos Martínez,Club Colombia x24,Cerveza,4,85000,68000,5,80750.0,323000.0,272000,51000.0
V00015,2023-01-03,1,January,T1,Tuesday,C009,Superete El Pariente,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Luis Hernández,Póker Botella x30,Cerveza,5,66000,52000,0,66000.0,330000.0,260000,70000.0
V00016,2023-01-03,1,January,T1,Tuesday,C077,Superete La Esquina,Superete,Ruta San Marcos,San Marcos,Barrio El Prado,Carlos Martínez,Malta Leona x30,Malta,5,46000,35000,0,46000.0,230000.0,175000,55000.0
V00017,2023-01-03,1,January,T1,Tuesday,C087,Superete La Pola,Superete,Ruta San Marcos,San Marcos,Vereda Pijiguay,Jhon Pérez,Águila Botella x30,Cerveza,1,68000,54000,0,68000.0,68000.0,54000,14000.0
V00018,2023-01-03,1,January,T1,Tuesday,C111,Superete La Pola,Superete,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Carlos Martínez,Águila Botella x30,Cerveza,9,68000,54000,0,68000.0,612000.0,486000,126000.0
V00019,2023-01-04,1,January,T1,Wednesday,C045,Bar/Estadero La Pola,Bar/Estadero,Ruta La Unión,La Unión,Vereda El Paraíso,Jhon Pérez,Club Colombia x24,Cerveza,10,85000,68000,5,80750.0,807500.0,680000,127500.0
V00020,2023-01-04,1,January,T1,Wednesday,C009,Superete El Pariente,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Jhon Pérez,Malta Leona x30,Malta,9,46000,35000,0,46000.0,414000.0,315000,99000.0
V00021,2023-01-04,1,January,T1,Wednesday,C032,Minimercado Doña Carmen,Minimercado,Ruta Caimito,Caimito,Vereda Las Flores,Jhon Pérez,Póker Lata x30,Cerveza,5,70000,56000,0,70000.0,350000.0,280000,70000.0
V00022,2023-01-04,1,January,T1,Wednesday,C048,Superete Don Jorge,Superete,Ruta La Unión,La Unión,Vereda Mata de Caña,Carlos Martínez,Electrolit x12,Electrolit,9,55000,40000,0,55000.0,495000.0,360000,135000.0
V00023,2023-01-04,1,January,T1,Wednesday,C037,Bar/Estadero El Rincón,Bar/Estadero,Ruta Caimito,Caimito,Vereda Palo Alto,Carlos Martínez,Club Colombia x24,Cerveza,10,85000,68000,0,85000.0,850000.0,680000,170000.0
V00024,2023-01-04,1,January,T1,Wednesday,C021,Tienda La Pola,Tienda,Ruta Caimito,Caimito,Vereda San Pedro,Andrés Díaz,Póker Botella x30,Cerveza,5,66000,52000,2,64680.0,323400.0,260000,63400.0
V00025,2023-01-04,1,January,T1,Wednesday,C057,Bar/Estadero El Amigo,Bar/Estadero,Ruta La Unión,La Unión,Vereda El Carmen,Andrés Díaz,Club Colombia x24,Cerveza,1,85000,68000,0,85000.0,85000.0,68000,17000.0
V00026,2023-01-04,1,January,T1,Wednesday,C107,Tienda El Pariente,Tienda,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Carlos Martínez,Club Colombia x24,Cerveza,1,85000,68000,0,85000.0,85000.0,68000,17000.0
V00027,2023-01-04,1,January,T1,Wednesday,C070,Restaurante El Vecino,Restaurante,Ruta San Marcos,San Marcos,San Marcos Centro,Andrés Díaz,Póker Lata x30,Cerveza,5,70000,56000,0,70000.0,350000.0,280000,70000.0
V00028,2023-01-04,1,January,T1,Wednesday,C091,Minimercado El Amigo,Minimercado,Ruta San Marcos,San Marcos,Vereda La Ceiba,Jhon Pérez,Agua Cristal 1.5L x12,Agua,7,28000,19000,2,27440.0,192080.0,133000,59080.0
V00029,2023-01-05,1,January,T1,Thursday,C010,Superete El Paisa,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Jhon Pérez,Póker Lata x30,Cerveza,7,70000,56000,0,70000.0,490000.0,392000,98000.0
V00030,2023-01-05,1,January,T1,Thursday,C089,Tienda Doña Carmen,Tienda,Ruta San Marcos,San Marcos,Vereda Buenavista,Carlos Martínez,Club Colombia x24,Cerveza,6,85000,68000,0,85000.0,510000.0,408000,102000.0
V00031,2023-01-05,1,January,T1,Thursday,C020,Restaurante El Amigo,Restaurante,Ruta Caimito,Caimito,Vereda Pueblito,Jhon Pérez,Póker Botella x30,Cerveza,4,66000,52000,5,62700.0,250800.0,208000,42800.0
V00032,2023-01-05,1,January,T1,Thursday,C070,Restaurante El Vecino,Restaurante,Ruta San Marcos,San Marcos,San Marcos Centro,Luis Hernández,Costeña x30,Cerveza,9,60000,47000,0,60000.0,540000.0,423000,117000.0
V00033,2023-01-05,1,January,T1,Thursday,C005,Tienda El Amigo,Tienda,Ruta Caimito,Caimito,Caimito Centro,Andrés Díaz,Póker Botella x30,Cerveza,3,66000,52000,0,66000.0,198000.0,156000,42000.0
V00034,2023-01-05,1,January,T1,Thursday,C107,Tienda El Pariente,Tienda,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Carlos Martínez,Águila Lata x30,Cerveza,3,72000,58000,5,68400.0,205200.0,174000,31200.0
V00035,2023-01-05,1,January,T1,Thursday,C048,Superete Don Jorge,Superete,Ruta La Unión,La Unión,Vereda Mata de Caña,Luis Hernández,Costeña Litro x12,Cerveza,4,55000,43000,0,55000.0,220000.0,172000,48000.0
V00036,2023-01-05,1,January,T1,Thursday,C075,Restaurante Don Jorge,Restaurante,Ruta San Marcos,San Marcos,San Marcos Centro,Jhon Pérez,Electrolit x12,Electrolit,2,55000,40000,0,55000.0,110000.0,80000,30000.0
V00037,2023-01-05,1,January,T1,Thursday,C071,Superete El Campesino,Superete,Ruta San Marcos,San Marcos,San Marcos Centro,Andrés Díaz,Agua Cristal 600ml x24,Agua,4,22000,15000,0,22000.0,88000.0,60000,28000.0
V00038,2023-01-06,1,January,T1,Friday,C040,Minimercado El Pariente,Minimercado,Ruta La Unión,La Unión,La Unión Centro,Andrés Díaz,Club Colombia x24,Cerveza,6,85000,68000,5,80750.0,484500.0,408000,76500.0
V00039,2023-01-06,1,January,T1,Friday,C106,Bar/Estadero El Pariente,Bar/Estadero,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Jhon Pérez,Malta Leona x30,Malta,9,46000,35000,0,46000.0,414000.0,315000,99000.0
V00040,2023-01-06,1,January,T1,Friday,C102,Bar/Estadero El Rincón,Bar/Estadero,Ruta San Marcos,San Marcos,Vereda El Tesoro,Carlos Martínez,Águila Botella x30,Cerveza,5,68000,54000,0,68000.0,340000.0,270000,70000.0
V00041,2023-01-06,1,January,T1,Friday,C030,Bar/Estadero Don Jorge,Bar/Estadero,Ruta Caimito,Caimito,Vereda Las Flores,Andrés Díaz,Águila Lata x30,Cerveza,2,72000,58000,2,70560.0,141120.0,116000,25120.0
V00042,2023-01-06,1,January,T1,Friday,C029,Minimercado La Esquina,Minimercado,Ruta Caimito,Caimito,Vereda Las Flores,Jhon Pérez,Costeña x30,Cerveza,6,60000,47000,0,60000.0,360000.0,282000,78000.0
V00043,2023-01-06,1,January,T1,Friday,C004,Tienda El Campesino,Tienda,Ruta Caimito,Caimito,Caimito Centro,Carlos Martínez,Costeña Litro x12,Cerveza,10,55000,43000,0,55000.0,550000.0,430000,120000.0
V00044,2023-01-06,1,January,T1,Friday,C085,Restaurante El Rincón,Restaurante,Ruta San Marcos,San Marcos,Vereda Pijiguay,Luis Hernández,Águila Lata x30,Cerveza,7,72000,58000,0,72000.0,504000.0,406000,98000.0
V00045,2023-01-06,1,January,T1,Friday,C025,Superete Doña Carmen,Superete,Ruta Caimito,Caimito,Vereda San Pedro,Carlos Martínez,Costeña x30,Cerveza,7,60000,47000,0,60000.0,420000.0,329000,91000.0
V00046,2023-01-06,1,January,T1,Friday,C052,Superete La Pola,Superete,Ruta La Unión,La Unión,Vereda La Victoria,Jhon Pérez,Malta Pony x30,Malta,6,48000,36000,5,45600.0,273600.0,216000,57600.0
V00047,2023-01-06,1,January,T1,Friday,C043,Superete Doña Carmen,Superete,Ruta La Unión,La Unión,Vereda El Paraíso,Carlos Martínez,Electrolit x12,Electrolit,5,55000,40000,2,53900.0,269500.0,200000,69500.0
V00048,2023-01-06,1,January,T1,Friday,C036,Minimercado El Vecino,Minimercado,Ruta Caimito,Caimito,Vereda Palo Alto,Andrés Díaz,Malta Leona x30,Malta,7,46000,35000,0,46000.0,322000.0,245000,77000.0
V00049,2023-01-06,1,January,T1,Friday,C111,Superete La Pola,Superete,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Luis Hernández,Electrolit x12,Electrolit,5,55000,40000,2,53900.0,269500.0,200000,69500.0
V00050,2023-01-06,1,January,T1,Friday,C009,Superete El Pariente,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Andrés Díaz,Póker Botella x30,Cerveza,7,66000,52000,5,62700.0,438900.0,364000,74900.0
V00051,2023-01-07,1,January,T1,Saturday,C096,Tienda El Campesino,Tienda,Ruta San Marcos,San Marcos,Vereda La Ceiba,Luis Hernández,Agua Cristal 600ml x24,Agua,8,22000,15000,5,20900.0,167200.0,120000,47200.0
V00052,2023-01-07,1,January,T1,Saturday,C023,Bar/Estadero La Esquina,Bar/Estadero,Ruta Caimito,Caimito,Vereda San Pedro,Luis Hernández,Agua Cristal 1.5L x12,Agua,8,28000,19000,5,26600.0,212800.0,152000,60800.0
V00053,2023-01-07,1,January,T1,Saturday,C079,Tienda El Campesino,Tienda,Ruta San Marcos,San Marcos,Barrio El Prado,Carlos Martínez,Malta Leona x30,Malta,2,46000,35000,0,46000.0,92000.0,70000,22000.0
V00054,2023-01-07,1,January,T1,Saturday,C073,Restaurante La Pola,Restaurante,Ruta San Marcos,San Marcos,San Marcos Centro,Carlos Martínez,Águila Botella x30,Cerveza,4,68000,54000,5,64600.0,258400.0,216000,42400.0
V00055,2023-01-07,1,January,T1,Saturday,C039,Restaurante El Pariente,Restaurante,Ruta La Unión,La Unión,La Unión Centro,Jhon Pérez,Póker Botella x30,Cerveza,4,66000,52000,0,66000.0,264000.0,208000,56000.0
V00056,2023-01-07,1,January,T1,Saturday,C052,Superete La Pola,Superete,Ruta La Unión,La Unión,Vereda La Victoria,Jhon Pérez,Águila Lata x30,Cerveza,4,72000,58000,0,72000.0,288000.0,232000,56000.0
V00057,2023-01-07,1,January,T1,Saturday,C071,Superete El Campesino,Superete,Ruta San Marcos,San Marcos,San Marcos Centro,Luis Hernández,Agua Cristal 600ml x24,Agua,7,22000,15000,5,20900.0,146300.0,105000,41300.0
V00058,2023-01-07,1,January,T1,Saturday,C107,Tienda El Pariente,Tienda,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Andrés Díaz,Electrolit x12,Electrolit,7,55000,40000,0,55000.0,385000.0,280000,105000.0
V00059,2023-01-07,1,January,T1,Saturday,C001,Tienda El Pariente,Tienda,Ruta Caimito,Caimito,Caimito Centro,Jhon Pérez,Póker Botella x30,Cerveza,3,66000,52000,5,62700.0,188100.0,156000,32100.0
V00060,2023-01-07,1,January,T1,Saturday,C037,Bar/Estadero El Rincón,Bar/Estadero,Ruta Caimito,Caimito,Vereda Palo Alto,Luis Hernández,Águila Botella x30,Cerveza,7,68000,54000,0,68000.0,476000.0,378000,98000.0
V00061,2023-01-07,1,January,T1,Saturday,C027,Tienda El Paisa,Tienda,Ruta Caimito,Caimito,Vereda Las Flores,Jhon Pérez,Electrolit x12,Electrolit,9,55000,40000,0,55000.0,495000.0,360000,135000.0
V00062,2023-01-07,1,January,T1,Saturday,C056,Tienda El Rincón,Tienda,Ruta La Unión,La Unión,Vereda El Carmen,Andrés Díaz,Agua Cristal 1.5L x12,Agua,4,28000,19000,0,28000.0,112000.0,76000,36000.0
V00063,2023-01-07,1,January,T1,Saturday,C101,Bar/Estadero El Paisa,Bar/Estadero,Ruta San Marcos,San Marcos,Vereda El Tesoro,Carlos Martínez,Póker Lata x30,Cerveza,8,70000,56000,5,66500.0,532000.0,448000,84000.0
V00064,2023-01-07,1,January,T1,Saturday,C075,Restaurante Don Jorge,Restaurante,Ruta San Marcos,San Marcos,San Marcos Centro,Andrés Díaz,Agua Cristal 600ml x24,Agua,10,22000,15000,5,20900.0,209000.0,150000,59000.0
V00065,2023-01-07,1,January,T1,Saturday,C078,Tienda La Pola,Tienda,Ruta San Marcos,San Marcos,Barrio El Prado,Andrés Díaz,Agua Cristal 1.5L x12,Agua,8,28000,19000,0,28000.0,224000.0,152000,72000.0
V00066,2023-01-07,1,January,T1,Saturday,C084,Superete El Paisa,Superete,Ruta San Marcos,San Marcos,Vereda Pijiguay,Carlos Martínez,Agua Cristal 600ml x24,Agua,5,22000,15000,0,22000.0,110000.0,75000,35000.0
V00067,2023-01-07,1,January,T1,Saturday,C042,Restaurante La Esquina,Restaurante,Ruta La Unión,La Unión,La Unión Centro,Luis Hernández,Agua Cristal 1.5L x12,Agua,8,28000,19000,5,26600.0,212800.0,152000,60800.0
V00068,2023-01-07,1,January,T1,Saturday,C060,Tienda La Esquina,Tienda,Ruta La Unión,La Unión,Vereda El Carmen,Carlos Martínez,Club Colombia x24,Cerveza,8,85000,68000,0,85000.0,680000.0,544000,136000.0
V00069,2023-01-09,1,January,T1,Monday,C035,Minimercado El Campesino,Minimercado,Ruta Caimito,Caimito,Vereda Palo Alto,Andrés Díaz,Póker Botella x30,Cerveza,2,66000,52000,0,66000.0,132000.0,104000,28000.0
V00070,2023-01-09,1,January,T1,Monday,C043,Superete Doña Carmen,Superete,Ruta La Unión,La Unión,Vereda El Paraíso,Andrés Díaz,Costeña x30,Cerveza,9,60000,47000,0,60000.0,540000.0,423000,117000.0
V00071,2023-01-09,1,January,T1,Monday,C041,Restaurante El Rincón,Restaurante,Ruta La Unión,La Unión,La Unión Centro,Andrés Díaz,Águila Lata x30,Cerveza,4,72000,58000,0,72000.0,288000.0,232000,56000.0
V00072,2023-01-09,1,January,T1,Monday,C070,Restaurante El Vecino,Restaurante,Ruta San Marcos,San Marcos,San Marcos Centro,Andrés Díaz,Malta Pony x30,Malta,1,48000,36000,2,47040.0,47040.0,36000,11040.0
V00073,2023-01-09,1,January,T1,Monday,C011,Superete El Rincón,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Carlos Martínez,Agua Cristal 600ml x24,Agua,1,22000,15000,0,22000.0,22000.0,15000,7000.0
V00074,2023-01-09,1,January,T1,Monday,C018,Tienda El Rincón,Tienda,Ruta Caimito,Caimito,Vereda Pueblito,Luis Hernández,Costeña Litro x12,Cerveza,7,55000,43000,2,53900.0,377300.0,301000,76300.0
V00075,2023-01-09,1,January,T1,Monday,C020,Restaurante El Amigo,Restaurante,Ruta Caimito,Caimito,Vereda Pueblito,Andrés Díaz,Agua Cristal 600ml x24,Agua,4,22000,15000,0,22000.0,88000.0,60000,28000.0
V00076,2023-01-09,1,January,T1,Monday,C030,Bar/Estadero Don Jorge,Bar/Estadero,Ruta Caimito,Caimito,Vereda Las Flores,Carlos Martínez,Agua Cristal 600ml x24,Agua,1,22000,15000,0,22000.0,22000.0,15000,7000.0
V00077,2023-01-09,1,January,T1,Monday,C050,Superete El Rincón,Superete,Ruta La Unión,La Unión,Vereda Mata de Caña,Luis Hernández,Malta Leona x30,Malta,7,46000,35000,5,43700.0,305900.0,245000,60900.0
V00078,2023-01-09,1,January,T1,Monday,C089,Tienda Doña Carmen,Tienda,Ruta San Marcos,San Marcos,Vereda Buenavista,Jhon Pérez,Agua Cristal 600ml x24,Agua,3,22000,15000,2,21560.0,64680.0,45000,19680.0
V00079,2023-01-09,1,January,T1,Monday,C091,Minimercado El Amigo,Minimercado,Ruta San Marcos,San Marcos,Vereda La Ceiba,Jhon Pérez,Costeña Litro x12,Cerveza,10,55000,43000,2,53900.0,539000.0,430000,109000.0
V00080,2023-01-10,1,January,T1,Tuesday,C083,Superete El Rincón,Superete,Ruta San Marcos,San Marcos,Barrio La Esperanza,Carlos Martínez,Costeña x30,Cerveza,4,60000,47000,0,60000.0,240000.0,188000,52000.0
V00081,2023-01-10,1,January,T1,Tuesday,C055,Minimercado El Rincón,Minimercado,Ruta La Unión,La Unión,Vereda La Victoria,Andrés Díaz,Costeña x30,Cerveza,7,60000,47000,0,60000.0,420000.0,329000,91000.0
V00082,2023-01-10,1,January,T1,Tuesday,C018,Tienda El Rincón,Tienda,Ruta Caimito,Caimito,Vereda Pueblito,Jhon Pérez,Club Colombia x24,Cerveza,2,85000,68000,0,85000.0,170000.0,136000,34000.0
V00083,2023-01-10,1,January,T1,Tuesday,C111,Superete La Pola,Superete,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Carlos Martínez,Electrolit x12,Electrolit,9,55000,40000,0,55000.0,495000.0,360000,135000.0
V00084,2023-01-10,1,January,T1,Tuesday,C060,Tienda La Esquina,Tienda,Ruta La Unión,La Unión,Vereda El Carmen,Jhon Pérez,Póker Botella x30,Cerveza,2,66000,52000,5,62700.0,125400.0,104000,21400.0
V00085,2023-01-10,1,January,T1,Tuesday,C024,Superete Don Jorge,Superete,Ruta Caimito,Caimito,Vereda San Pedro,Jhon Pérez,Águila Lata x30,Cerveza,4,72000,58000,0,72000.0,288000.0,232000,56000.0
V00086,2023-01-10,1,January,T1,Tuesday,C007,Tienda La Esquina,Tienda,Ruta Caimito,Caimito,Caimito Centro,Luis Hernández,Malta Pony x30,Malta,3,48000,36000,0,48000.0,144000.0,108000,36000.0
V00087,2023-01-10,1,January,T1,Tuesday,C034,Tienda El Amigo,Tienda,Ruta Caimito,Caimito,Vereda Palo Alto,Luis Hernández,Agua Cristal 600ml x24,Agua,2,22000,15000,2,21560.0,43120.0,30000,13120.0
V00088,2023-01-10,1,January,T1,Tuesday,C049,Superete El Rincón,Superete,Ruta La Unión,La Unión,Vereda Mata de Caña,Luis Hernández,Agua Cristal 600ml x24,Agua,5,22000,15000,0,22000.0,110000.0,75000,35000.0
V00089,2023-01-11,1,January,T1,Wednesday,C078,Tienda La Pola,Tienda,Ruta San Marcos,San Marcos,Barrio El Prado,Carlos Martínez,Malta Pony x30,Malta,4,48000,36000,0,48000.0,192000.0,144000,48000.0
V00090,2023-01-11,1,January,T1,Wednesday,C096,Tienda El Campesino,Tienda,Ruta San Marcos,San Marcos,Vereda La Ceiba,Jhon Pérez,Malta Leona x30,Malta,10,46000,35000,0,46000.0,460000.0,350000,110000.0
V00091,2023-01-11,1,January,T1,Wednesday,C092,Minimercado El Pariente,Minimercado,Ruta San Marcos,San Marcos,Vereda La Ceiba,Carlos Martínez,Costeña x30,Cerveza,9,60000,47000,0,60000.0,540000.0,423000,117000.0
V00092,2023-01-11,1,January,T1,Wednesday,C015,Bar/Estadero Doña Carmen,Bar/Estadero,Ruta Caimito,Caimito,Vereda El Palmar,Carlos Martínez,Águila Botella x30,Cerveza,9,68000,54000,5,64600.0,581400.0,486000,95400.0
V00093,2023-01-11,1,January,T1,Wednesday,C100,Superete El Amigo,Superete,Ruta San Marcos,San Marcos,Vereda El Tesoro,Jhon Pérez,Águila Lata x30,Cerveza,7,72000,58000,0,72000.0,504000.0,406000,98000.0
V00094,2023-01-11,1,January,T1,Wednesday,C105,Restaurante El Rincón,Restaurante,Ruta San Marcos,San Marcos,Vereda El Tesoro,Andrés Díaz,Costeña Litro x12,Cerveza,6,55000,43000,5,52250.0,313500.0,258000,55500.0
V00095,2023-01-11,1,January,T1,Wednesday,C021,Tienda La Pola,Tienda,Ruta Caimito,Caimito,Vereda San Pedro,Luis Hernández,Electrolit x12,Electrolit,3,55000,40000,0,55000.0,165000.0,120000,45000.0
V00096,2023-01-11,1,January,T1,Wednesday,C040,Minimercado El Pariente,Minimercado,Ruta La Unión,La Unión,La Unión Centro,Carlos Martínez,Electrolit x12,Electrolit,9,55000,40000,5,52250.0,470250.0,360000,110250.0
V00097,2023-01-11,1,January,T1,Wednesday,C014,Tienda El Vecino,Tienda,Ruta Caimito,Caimito,Vereda El Palmar,Andrés Díaz,Malta Pony x30,Malta,9,48000,36000,0,48000.0,432000.0,324000,108000.0
V00098,2023-01-11,1,January,T1,Wednesday,C075,Restaurante Don Jorge,Restaurante,Ruta San Marcos,San Marcos,San Marcos Centro,Carlos Martínez,Costeña Litro x12,Cerveza,10,55000,43000,0,55000.0,550000.0,430000,120000.0
V00099,2023-01-11,1,January,T1,Wednesday,C004,Tienda El Campesino,Tienda,Ruta Caimito,Caimito,Caimito Centro,Andrés Díaz,Póker Botella x30,Cerveza,2,66000,52000,0,66000.0,132000.0,104000,28000.0
V00100,2023-01-11,1,January,T1,Wednesday,C074,Tienda La Esquina,Tienda,Ruta San Marcos,San Marcos,San Marcos Centro,Andrés Díaz,Póker Botella x30,Cerveza,8,66000,52000,2,64680.0,517440.0,416000,101440.0
V00101,2023-01-11,1,January,T1,Wednesday,C087,Superete La Pola,Superete,Ruta San Marcos,San Marcos,Vereda Pijiguay,Carlos Martínez,Costeña x30,Cerveza,1,60000,47000,0,60000.0,60000.0,47000,13000.0
V00102,2023-01-11,1,January,T1,Wednesday,C049,Superete El Rincón,Superete,Ruta La Unión,La Unión,Vereda Mata de Caña,Carlos Martínez,Póker Lata x30,Cerveza,8,70000,56000,0,70000.0,560000.0,448000,112000.0
V00103,2023-01-11,1,January,T1,Wednesday,C051,Minimercado El Vecino,Minimercado,Ruta La Unión,La Unión,Vereda La Victoria,Carlos Martínez,Club Colombia x24,Cerveza,6,85000,68000,0,85000.0,510000.0,408000,102000.0
V00104,2023-01-11,1,January,T1,Wednesday,C026,Minimercado La Esquina,Minimercado,Ruta Caimito,Caimito,Vereda Las Flores,Luis Hernández,Agua Cristal 1.5L x12,Agua,1,28000,19000,2,27440.0,27440.0,19000,8440.0
V00105,2023-01-11,1,January,T1,Wednesday,C010,Superete El Paisa,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Andrés Díaz,Águila Botella x30,Cerveza,4,68000,54000,5,64600.0,258400.0,216000,42400.0
V00106,2023-01-12,1,January,T1,Thursday,C072,Tienda El Amigo,Tienda,Ruta San Marcos,San Marcos,San Marcos Centro,Carlos Martínez,Electrolit x12,Electrolit,4,55000,40000,0,55000.0,220000.0,160000,60000.0
V00107,2023-01-12,1,January,T1,Thursday,C098,Bar/Estadero El Paisa,Bar/Estadero,Ruta San Marcos,San Marcos,Vereda El Tesoro,Carlos Martínez,Agua Cristal 600ml x24,Agua,9,22000,15000,2,21560.0,194040.0,135000,59040.0
V00108,2023-01-12,1,January,T1,Thursday,C031,Bar/Estadero Doña Carmen,Bar/Estadero,Ruta Caimito,Caimito,Vereda Las Flores,Carlos Martínez,Costeña Litro x12,Cerveza,9,55000,43000,0,55000.0,495000.0,387000,108000.0
V00109,2023-01-12,1,January,T1,Thursday,C089,Tienda Doña Carmen,Tienda,Ruta San Marcos,San Marcos,Vereda Buenavista,Carlos Martínez,Electrolit x12,Electrolit,8,55000,40000,0,55000.0,440000.0,320000,120000.0
V00110,2023-01-12,1,January,T1,Thursday,C061,Superete Don Jorge,Superete,Ruta La Unión,La Unión,Vereda El Carmen,Luis Hernández,Club Colombia x24,Cerveza,4,85000,68000,0,85000.0,340000.0,272000,68000.0
V00111,2023-01-12,1,January,T1,Thursday,C083,Superete El Rincón,Superete,Ruta San Marcos,San Marcos,Barrio La Esperanza,Luis Hernández,Costeña x30,Cerveza,2,60000,47000,5,57000.0,114000.0,94000,20000.0
V00112,2023-01-12,1,January,T1,Thursday,C092,Minimercado El Pariente,Minimercado,Ruta San Marcos,San Marcos,Vereda La Ceiba,Andrés Díaz,Póker Botella x30,Cerveza,4,66000,52000,5,62700.0,250800.0,208000,42800.0
V00113,2023-01-12,1,January,T1,Thursday,C063,Bar/Estadero El Vecino,Bar/Estadero,Ruta La Unión,La Unión,Vereda Cañaveral,Carlos Martínez,Club Colombia x24,Cerveza,10,85000,68000,2,83300.0,833000.0,680000,153000.0
V00114,2023-01-12,1,January,T1,Thursday,C058,Bar/Estadero El Campesino,Bar/Estadero,Ruta La Unión,La Unión,Vereda El Carmen,Luis Hernández,Águila Botella x30,Cerveza,4,68000,54000,0,68000.0,272000.0,216000,56000.0
